id,production_date,panel_serial_nbr,energy_produced
9468,2023-07-13,482303052574,2.15
9469,2023-07-13,482303052582,2.33
9470,2023-07-13,482303052599,2.3
9901,2023-07-12,482303052269,2.27
9902,2023-07-12,482303052299,2.39
9903,2023-07-12,482303052413,2.07
9904,2023-07-12,482303052483,2.27
9905,2023-07-12,482303052487,2.37
9906,2023-07-12,482303052489,2.09
9907,2023-07-12,482303052497,2.35
9908,2023-07-12,482303052574,2.26
9909,2023-07-12,482303052582,2.35
9910,2023-07-12,482303052599,2.38
10351,2023-07-11,482303052269,2.07
10352,2023-07-11,482303052299,2.31
10353,2023-07-11,482303052413,2.17
10354,2023-07-11,482303052483,2.1
10355,2023-07-11,482303052487,2.3
10356,2023-07-11,482303052489,2.21
10357,2023-07-11,482303052497,2.37
10358,2023-07-11,482303052574,2.11
10359,2023-07-11,482303052582,2.39
10360,2023-07-11,482303052599,2.31
10811,2023-07-10,482303052269,2.38
10812,2023-07-10,482303052299,2.61
10813,2023-07-10,482303052413,2.4
10814,2023-07-10,482303052483,2.41
10815,2023-07-10,482303052487,2.59
10816,2023-07-10,482303052489,2.45
10817,2023-07-10,482303052497,2.68
10818,2023-07-10,482303052574,2.4
10819,2023-07-10,482303052582,2.69
10820,2023-07-10,482303052599,2.61
11281,2023-07-09,482303052269,1.21
11282,2023-07-09,482303052299,1.42
11283,2023-07-09,482303052413,1.45
11284,2023-07-09,482303052483,1.21
11285,2023-07-09,482303052487,1.42
11286,2023-07-09,482303052489,1.48
11287,2023-07-09,482303052497,1.52
11288,2023-07-09,482303052574,1.24
11289,2023-07-09,482303052582,1.53
11290,2023-07-09,482303052599,1.43
11761,2023-07-08,482303052269,2.17
11762,2023-07-08,482303052299,2.4
11763,2023-07-08,482303052413,2.24
11764,2023-07-08,482303052483,2.18
11765,2023-07-08,482303052487,2.39
11766,2023-07-08,482303052489,2.27
11767,2023-07-08,482303052497,2.49
11768,2023-07-08,482303052574,2.19
11769,2023-07-08,482303052582,2.48
11770,2023-07-08,482303052599,2.4
12251,2023-07-07,482303052269,2.44
12252,2023-07-07,482303052299,2.66
12253,2023-07-07,482303052413,2.46
12254,2023-07-07,482303052483,2.45
12255,2023-07-07,482303052487,2.64
12256,2023-07-07,482303052489,2.48
12257,2023-07-07,482303052497,2.75
12258,2023-07-07,482303052574,2.44
12259,2023-07-07,482303052582,2.74
12260,2023-07-07,482303052599,2.65
12751,2023-07-06,482303052269,1.99
12752,2023-07-06,482303052299,2.18
12753,2023-07-06,482303052413,2.04
12754,2023-07-06,482303052483,1.98
12755,2023-07-06,482303052487,2.16
12756,2023-07-06,482303052489,2.07
12757,2023-07-06,482303052497,2.24
12758,2023-07-06,482303052574,1.98
12759,2023-07-06,482303052582,2.25
12760,2023-07-06,482303052599,2.17
13261,2023-07-05,482303052269,0.645
13262,2023-07-05,482303052299,0.753
13263,2023-07-05,482303052413,0.745
13264,2023-07-05,482303052483,0.633
13265,2023-07-05,482303052487,0.74
13266,2023-07-05,482303052489,0.751
13267,2023-07-05,482303052497,0.795
13268,2023-07-05,482303052574,0.649
13269,2023-07-05,482303052582,0.792
13270,2023-07-05,482303052599,0.747
13781,2023-07-04,482303052269,1.67
13782,2023-07-04,482303052299,1.85
13783,2023-07-04,482303052413,1.75
13784,2023-07-04,482303052483,1.65
13785,2023-07-04,482303052487,1.84
13786,2023-07-04,482303052489,1.77
13787,2023-07-04,482303052497,1.9
13788,2023-07-04,482303052574,1.68
13789,2023-07-04,482303052582,1.91
13790,2023-07-04,482303052599,1.85
14311,2023-07-03,482303052269,1.36
14312,2023-07-03,482303052299,1.58
14313,2023-07-03,482303052413,1.63
14314,2023-07-03,482303052483,1.33
14315,2023-07-03,482303052487,1.57
14316,2023-07-03,482303052489,1.66
14317,2023-07-03,482303052497,1.68
14318,2023-07-03,482303052574,1.35
14319,2023-07-03,482303052582,1.7
14320,2023-07-03,482303052599,1.58
14851,2023-07-02,482303052269,1.84
14852,2023-07-02,482303052299,2.05
14853,2023-07-02,482303052413,2.09
14854,2023-07-02,482303052483,1.84
14855,2023-07-02,482303052487,2.04
14856,2023-07-02,482303052489,2.12
14857,2023-07-02,482303052497,2.15
14858,2023-07-02,482303052574,1.86
14859,2023-07-02,482303052582,2.17
14860,2023-07-02,482303052599,2.06
15401,2023-07-01,482303052269,0.721
15402,2023-07-01,482303052299,0.854
15403,2023-07-01,482303052413,0.847
15404,2023-07-01,482303052483,0.707
15405,2023-07-01,482303052487,0.845
15406,2023-07-01,482303052489,0.859
15407,2023-07-01,482303052497,0.902
15408,2023-07-01,482303052574,0.735
15409,2023-07-01,482303052582,0.905
15410,2023-07-01,482303052599,0.853
15961,2023-06-30,482303052269,1.62
15962,2023-06-30,482303052299,1.84
15963,2023-06-30,482303052413,1.86
15964,2023-06-30,482303052483,1.62
15965,2023-06-30,482303052487,1.83
15966,2023-06-30,482303052489,1.89
15967,2023-06-30,482303052497,1.95
15968,2023-06-30,482303052574,1.64
15969,2023-06-30,482303052582,1.97
15970,2023-06-30,482303052599,1.85
16531,2023-06-29,482303052269,0.943
16532,2023-06-29,482303052299,1.097
16533,2023-06-29,482303052413,1.087
16534,2023-06-29,482303052483,0.926
16535,2023-06-29,482303052487,1.088
16536,2023-06-29,482303052489,1.103
16537,2023-06-29,482303052497,1.153
16538,2023-06-29,482303052574,0.96
16539,2023-06-29,482303052582,1.158
16540,2023-06-29,482303052599,1.097
17111,2023-06-28,482303052269,0.874
17112,2023-06-28,482303052299,1.011
17113,2023-06-28,482303052413,0.966
17114,2023-06-28,482303052483,0.856
17115,2023-06-28,482303052487,0.998
17116,2023-06-28,482303052489,0.975
17117,2023-06-28,482303052497,1.046
17118,2023-06-28,482303052574,0.884
17119,2023-06-28,482303052582,1.045
17120,2023-06-28,482303052599,1.004
17701,2023-06-27,482303052269,1.47
17702,2023-06-27,482303052299,1.68
17703,2023-06-27,482303052413,1.65
17704,2023-06-27,482303052483,1.45
17705,2023-06-27,482303052487,1.67
17706,2023-06-27,482303052489,1.69
17707,2023-06-27,482303052497,1.76
17708,2023-06-27,482303052574,1.48
17709,2023-06-27,482303052582,1.78
17710,2023-06-27,482303052599,1.68
18301,2023-06-26,482303052269,2.27
18302,2023-06-26,482303052299,2.49
18303,2023-06-26,482303052413,2.36
18304,2023-06-26,482303052483,2.3
18305,2023-06-26,482303052487,2.48
18306,2023-06-26,482303052489,2.4
18307,2023-06-26,482303052497,2.57
18308,2023-06-26,482303052574,2.3
18309,2023-06-26,482303052582,2.58
18310,2023-06-26,482303052599,2.49
18911,2023-06-25,482303052269,2.38
18912,2023-06-25,482303052299,2.6
18913,2023-06-25,482303052413,2.39
18914,2023-06-25,482303052483,2.39
18915,2023-06-25,482303052487,2.59
18916,2023-06-25,482303052489,2.42
18917,2023-06-25,482303052497,2.68
18918,2023-06-25,482303052574,2.38
18919,2023-06-25,482303052582,2.67
18920,2023-06-25,482303052599,2.6
19531,2023-06-24,482303052269,2.33
19532,2023-06-24,482303052299,2.55
19533,2023-06-24,482303052413,2.37
19534,2023-06-24,482303052483,2.34
19535,2023-06-24,482303052487,2.54
19536,2023-06-24,482303052489,2.41
19537,2023-06-24,482303052497,2.62
19538,2023-06-24,482303052574,2.34
19539,2023-06-24,482303052582,2.64
19540,2023-06-24,482303052599,2.55
20161,2023-06-23,482303052269,2.27
20162,2023-06-23,482303052299,2.52
20163,2023-06-23,482303052413,2.31
20164,2023-06-23,482303052483,2.29
20165,2023-06-23,482303052487,2.5
20166,2023-06-23,482303052489,2.37
20167,2023-06-23,482303052497,2.57
20168,2023-06-23,482303052574,2.3
20169,2023-06-23,482303052582,2.6
20170,2023-06-23,482303052599,2.52
20801,2023-06-22,482303052269,0.853
20802,2023-06-22,482303052299,1.112
20803,2023-06-22,482303052413,1.279
20804,2023-06-22,482303052483,0.834
20805,2023-06-22,482303052487,1.109
20806,2023-06-22,482303052489,1.311
20807,2023-06-22,482303052497,1.271
20808,2023-06-22,482303052574,0.862
20809,2023-06-22,482303052582,1.285
20810,2023-06-22,482303052599,1.122
21451,2023-06-21,482303052269,2.47
21452,2023-06-21,482303052299,2.69
21453,2023-06-21,482303052413,2.49
21454,2023-06-21,482303052483,2.48
21455,2023-06-21,482303052487,2.68
21456,2023-06-21,482303052489,2.53
21457,2023-06-21,482303052497,2.76
21458,2023-06-21,482303052574,2.48
21459,2023-06-21,482303052582,2.77
21460,2023-06-21,482303052599,2.69
22111,2023-06-20,482303052269,1.42
22112,2023-06-20,482303052299,1.62
22113,2023-06-20,482303052413,1.54
22114,2023-06-20,482303052483,1.43
22115,2023-06-20,482303052487,1.6
22116,2023-06-20,482303052489,1.51
22117,2023-06-20,482303052497,1.68
22118,2023-06-20,482303052574,1.45
22119,2023-06-20,482303052582,1.68
22120,2023-06-20,482303052599,1.6
22781,2023-06-19,482303052269,2.11
